	ref_title	ref_context	ref_entry	abstract	intro	ref_link
13	For regression problems, only one method for generating new synthetic data	[]	Bunkhumpornpat 2012. For regression problems, only one method for generating new synthetic data			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
14	An interesting approach that combines clustering	[]	Chen 2010. An interesting approach that combines clustering			https://doi.org/10.1007/s11063-014-9376-3
15	2006], where an ensemble of under-sampled SVMs is presented	[]	of Kang, and Cho 2006. 2006], where an ensemble of under-sampled SVMs is presented			https://doi.org/10.1007/s11063-014-9376-3
16	conversion: in a transparent box or in a black box way. In the first, the weights are provided to the classifier, while for the second a careful sub-sampling is performed according to the same weights. The first approach cannot be applied to an arbitrary learner, while the second one results in severe overfitting if sampling with replacement is used	[]	Zadrozny 2003. conversion: in a transparent box or in a black box way. In the first, the weights are provided to the classifier, while for the second a careful sub-sampling is performed according to the same weights. The first approach cannot be applied to an arbitrary learner, while the second one results in severe overfitting if sampling with replacement is used			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
17	Regarding neural networks, the possibility of making them	[]	others [Weiguo 2012. Regarding neural networks, the possibility of making them			https://doi.org/10.1007/s11063-014-9376-3
18	proposes a method called Weighted Random Forest (WRF) for dealing	[]	Chen 2004. proposes a method called Weighted Random Forest (WRF) for dealing			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
19	2003] present a weighted distance function to be used	[]	problem. Barandela 2003. 2003] present a weighted distance function to be used			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
20	CCPDT is robust and insensitive to class	[]	Liu 2010. CCPDT is robust and insensitive to class			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
21	recommended the use of bagged HDDTs as the preferred method	[]	Cieslak 2012. recommended the use of bagged HDDTs as the preferred method			https://doi.org/10.1007/s11063-014-9376-3
22	The Kernel Boundary Alignment algorithm (KBA) is proposed in Wu and Chang	[]	Ribeiro, and Torgo 2003. The Kernel Boundary Alignment algorithm (KBA) is proposed in Wu and Chang			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
23	Cost-sensitive Post-processing	[]	Hernández-Orallo 2012. Cost-sensitive Post-processing			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo+Eleuterio%2C+Jos%C3%A9+Mart%C3%ADnez+Sotoca%2C+Vicente+Garc%C3%ADa+Jim%C3%A9nez%2C+and+Rosa+Mar%C3%ADa+Valdovinos+Rosas.+2011.+Back+propagation+with+balanced+MSE+cost+function+and+nearest+neighbor+editing+for+handling+class+overlap+and+class+imbalance.+%282011%29.
24	threshold method: uses the ranking provided by a score that expresses the degree	[]	Hernández-Orallo 2014. threshold method: uses the ranking provided by a score that expresses the degree			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
25	explores several threshold choice methods and provides an interesting interpretation for a diversity of performance metrics. The threshold choice methods are categorized according to the operating conditions. Guidelines are provided regarding the performance metric that should be used based on the information available on the threshold choice method	[]	Hernández-Orallo 2012. explores several threshold choice methods and provides an interesting interpretation for a diversity of performance metrics. The threshold choice methods are categorized according to the operating conditions. Guidelines are provided regarding the performance metric that should be used based on the information available on the threshold choice method			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
26	It is an issue still under-explored with few limited solutions. Similarly to what happens in classification, no progress has yet been made for evaluating these solutions in imbalanced domains. However, one interesting proposal called reframing [Hernández-Orallo	[]	Zhao 2008. It is an issue still under-explored with few limited solutions. Similarly to what happens in classification, no progress has yet been made for evaluating these solutions in imbalanced domains. However, one interesting proposal called reframing [Hernández-Orallo			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
27	the reframing of an enriched soft regression model to new contexts by an instancedependent optimization of the expected loss derived from the conditional normal distribution	[]	Barnab-Lortie 2015. the reframing of an enriched soft regression model to new contexts by an instancedependent optimization of the expected loss derived from the conditional normal distribution			https://doi.org/10.1007/978-3-642-01307-2_43
28	The motivation for this proposal is related to the fact that a perfectly balanced data may not be optimal and that the right amount of over-/undersample to apply is difficult to determine. To overcome these difficulties, a mixture-ofexperts framework was proposed in an architecture with three levels: a classifier	[]	Estabrooks 2004. The motivation for this proposal is related to the fact that a perfectly balanced data may not be optimal and that the right amount of over-/undersample to apply is difficult to determine. To overcome these difficulties, a mixture-ofexperts framework was proposed in an architecture with three levels: a classifier			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
29	The proposed approach uses a facilitator agent and three learning agents, each one with its own learning system. The facilitator starts by filtering the features of the dataset. The filtered data are then passed to the three learning agents. Each learning agent samples the dataset, learns using the respective system (Naive Bayes, C4.5, and 5-NN), and then returns the predictions	[]	Kotsiantis, and Pintelas 2003. The proposed approach uses a facilitator agent and three learning agents, each one with its own learning system. The facilitator starts by filtering the features of the dataset. The filtered data are then passed to the three learning agents. Each learning agent samples the dataset, learns using the respective system (Naive Bayes, C4.5, and 5-NN), and then returns the predictions			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
30	2011a, 2011b] presented a new approach that also uses active	[]	Ghasemi 2011. 2011a, 2011b] presented a new approach that also uses active			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
31	compared three types of classifiers (SVM, decision	[]	López 2013. compared three types of classifiers (SVM, decision			https://doi.org/10.5555/1768409.1768431
32	For decision trees and k-NN, the best performing strategy was smoteBagging, while for SVMs SMOTE obtained the best performance closely followed by the remaining evaluated pre-processing strategies	[]	López 2013. For decision trees and k-NN, the best performing strategy was smoteBagging, while for SVMs SMOTE obtained the best performance closely followed by the remaining evaluated pre-processing strategies			https://doi.org/10.1007/978-3-642-13059-5_22
33	2016] studies the relation between the dominant type	[]	outliers. Then, and Stefanowski 2016. 2016] studies the relation between the dominant type			https://doi.org/10.1007/s11063-014-9376-3
34	1984]. However, for real-world applications, Weiss [2013] has shown that the equivalence frequently does not hold. Consider, for instance, a binary classification problem with 1,100 examples and an imbalanced domain with a class distribution of 10:1	[]	Breiman 2013. 1984]. However, for real-world applications, Weiss [2013] has shown that the equivalence frequently does not hold. Consider, for instance, a binary classification problem with 1,100 examples and an imbalanced domain with a class distribution of 10:1			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
35	A theoretical analysis of imbalance	[]	Wallace 2007. A theoretical analysis of imbalance. (e.g., Van Hulse et al			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
36	contributed theoretical advances regarding imbalanced domains. The focus of this work was also in the under-sampling strategy. In this article, the authors study two aspects that are consequences of ACM	[]	More recently, and Dal Pozzolo 2016. contributed theoretical advances regarding imbalanced domains. The focus of this work was also in the under-sampling strategy. In this article, the authors study two aspects that are consequences of ACM. Computing Surveys,			http://scholar.google.com/scholar?hl=en&q=Chao+Chen%2C+Andy+Liaw%2C+and+Leo+Breiman.+2004.+Using+random+forest+to+learn+imbalanced+data.+University+of+California%2C+Berkeley+%282004%29.
37	2011]), while for the second issue it is necessary to calibrate the probability of the new priors	[]	Wallace 2015. 2011]), while for the second issue it is necessary to calibrate the probability of the new priors. Dal Pozzolo et al			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
38	Several proposals exist for handling the imbalance problem in conjunction with the high-dimensionality problem, all using a feature selection strategy [Zheng et al	[]	Van Someren 2003. Several proposals exist for handling the imbalance problem in conjunction with the high-dimensionality problem, all using a feature selection strategy [Zheng et al. Del Castillo and Serrano 2004; Forman and Cohen 2004; Chu et al			https://doi.org/10.5555/1768409.1768431
39	fore they will tend to overfit and misclassify the cases in the small disjuncts. Due to the importance of these two problems, several works address the relation between the problem of small disjuncts and the class imbalance problem (e.g., Japkowicz	[]	Weiss, Provost, Jo, Japkowicz, and Pearson 2001. fore they will tend to overfit and misclassify the cases in the small disjuncts. Due to the importance of these two problems, several works address the relation between the problem of small disjuncts and the class imbalance problem (e.g., Japkowicz. and Prati et al			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
40	The data shift problem has also deserved the attention of the research community. The problem of data shift occurs when there is a difference in the distribution of the train and test sets. The data shift occurs frequently, and it usually leads to a small performance degradation	[]	López 2013. The data shift problem has also deserved the attention of the research community. The problem of data shift occurs when there is a difference in the distribution of the train and test sets. The data shift occurs frequently, and it usually leads to a small performance degradation			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
41	perspectives of this problem under imbalanced domains: intrinsic and induced data shift. The first one regards shifts in the data distribution that are already present in the data. This is an unexplored issue that still has no solution. As for induced data shift, it is related with the evaluation techniques	[]	Moreno-Torres 2012. perspectives of this problem under imbalanced domains: intrinsic and induced data shift. The first one regards shifts in the data distribution that are already present in the data. This is an unexplored issue that still has no solution. As for induced data shift, it is related with the evaluation techniques			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
42	2014], multi-label classification [Charte et al. 2015b], association	[]	Pérez-Ortiz 2015. 2014], multi-label classification [Charte et al. 2015b], association			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
43	2015a, 2015b]), multi-instance learning (e.g., Wang et al. [2013a, 2013b]), and mining association rules	[]	Ortiz 2014. 2015a, 2015b]), multi-instance learning (e.g., Wang et al. [2013a, 2013b]), and mining association rules. (e.g., Mangat and Vig [2014], and Luna et al			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
44	Applying support vector machines to imbalanced datasets	['Weighting methods either assign heavier weights to the minority training instances or penalties for misclassifications of minority instances <NO>.', 'However, SVMs are also sensitive to class imbalance <NO><NO>.', 'As a remedy, researchers have used alternative performance measures, such as Geometric-mean (Gm) <NO>,<NO> and F-measure (Fm) <NO>,<NO> for classifier performance evaluation in imbalanced dataset learning.', 'In order to overcome this problem, other performance measures, such as the Gm <NO>,<NO> and Fm <NO>,<NO>, have been used in class imbalance learning research.', 'In <NO> the behavior of Support Vector Machines (SVM) with imbalanced data is investigated.', ', the separating hyperplane of an SVM model, which was developed with an imbalanced dataset, can be skewed toward the minority (positive) class <NO>, <NO>.', 'This was following the findings reported in <NO>, where the optimal results for the DEC method could be obtained when C−/C+ equals to the minority-to-majority class ratio.', 'It has been well-studied that when the training dataset is imbalanced, the commonly used performance measure accuracy, which is the proportion of correctly classified instances, could lead to suboptimal models <NO>, <NO>.', 'Therefore, we used the geometric mean of sensitivity (SE = proportion of the positives correctly recognized) and specificity (SP = proportion of the negatives correctly recognized), given by Gm = √ SE × SP, for the classifier performance evaluation in this study, as commonly used in class imbalanced-learning research <NO>, <NO>, <NO>.', 'When applying the DEC method, the value of C−/C+ was set to the positive-to-negative class ratio of the dataset by following the findings in <NO>.']	Rehan Akbani, Stephen Kwek, and Nathalie Japkowicz. 2004. Applying support vector machines to imbalanced datasets. Machine Learning: ECML 2004. Springer, 39–50.			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
45	Assessments metrics for multi-class imbalance learning: A preliminary study	[]	Roberto Alejo, J.A. Antonio, Rosa Maria Valdovinos, and J. Horacio Pacheco-Sánchez. 2013. Assessments metrics for multi-class imbalance learning: A preliminary study. Pattern Recognition. Springer, 335– 343.			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
46	An efficient over-sampling approach based on mean square error back-propagation for dealing with the multi-class imbalance problem	[]	Roberto Alejo, Vicente Garcı́a, and J. Horacio Pacheco-Sánchez 2014. An efficient over-sampling approach based on mean square error back-propagation for dealing with the multi-class imbalance problem			https://doi.org/10.1007/s11063-014-9376-3
47	Improving the performance of the RBF neural networks trained with imbalanced samples	[]	Roberto Alejo, Vicente Garcı́a, José Martı́nez Sotoca, Ramón Alberto Mollineda, and José Salvador Sánchez 2007. Improving the performance of the RBF neural networks trained with imbalanced samples. In Computational and Ambient Intelligence. Springer,			https://doi.org/10.5555/1768409.1768431
48	A hybrid method to face class overlap and class imbalance on neural networks and multi-class scenarios	[]	Roberto Alejo, Rosa Maria Valdovinos, Vicente Garcı́a, and J. Horacio Pacheco-Sanchez 2013. A hybrid method to face class overlap and class imbalance on neural networks and multi-class scenarios. Pattern Recogn. Lett. 34,			https://doi.org/10.1016/j.patrec.2012.09.003
49	Back propagation with balanced MSE cost function and nearest neighbor editing for handling class overlap and class imbalance	[]	Roberto Alejo Eleuterio, José Martı́nez Sotoca, Vicente Garcı́a Jiménez, and Rosa Marı́a Valdovinos Rosas 2011. Back propagation with balanced MSE cost function and nearest neighbor editing for handling class overlap and class imbalance			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo+Eleuterio%2C+Jos%C3%A9+Mart%C3%ADnez+Sotoca%2C+Vicente+Garc%C3%ADa+Jim%C3%A9nez%2C+and+Rosa+Mar%C3%ADa+Valdovinos+Rosas.+2011.+Back+propagation+with+balanced+MSE+cost+function+and+nearest+neighbor+editing+for+handling+class+overlap+and+class+imbalance.+%282011%29.
50	Class imbalance and active learning	[]	Josh Attenberg, and Seyda Ertekin. 2013. Class imbalance and active learning. Imbalanced Learning: Foundations, Algorithms, and Applications, Haibo He and Yunqian Ma (Eds.). John Wiley & Sons.			http://scholar.google.com/scholar?hl=en&q=Josh+Attenberg+and+Seyda+Ertekin.+2013.+Class+imbalance+and+active+learning.+In+Imbalanced+Learning%3A+Foundations%2C+Algorithms%2C+and+Applications%2C+Haibo+He+and+Yunqian+Ma+%28Eds.%29.+John+Wiley+%26+Sons.
51	Evaluation measures for ordinal regression	[]	Stefano Baccianella, Andrea Esuli, and Fabrizio Sebastiani. 2009. Evaluation measures for ordinal regression. Ninth International Conference on Intelligent Systems Design and Applications, 2009. ISDA’09. IEEE, 283–287.	Ordinal regression (OR – also known as ordinal classification) has received increasing attention in recent times, due to its importance in IR applications such as learning to rank and product review rating. However, research has not paid attention to the fact that typical applications of OR often involve datasets that are highly imbalanced. An imbalanced dataset has the consequence that, when testing a system with an evaluation measure conceived for balanced datasets, a trivial system assigning all items to a single class (typically, the majority class) may even outperform genuinely engineered systems. Moreover, if this evaluation measure is used for parameter optimization, a parameter choice may result that makes the system behave very much like a trivial system. In order to avoid this, evaluation measures that can handle imbalance must be used. We propose a simple way to turn standard measures for OR into ones robust to imbalance. We also show that, once used on balanced datasets, the two versions of each measure coincide, and therefore argue that our measures should become the standard choice for OR. 	"Are the standard evaluation measures for OR robust to imbalance? The most commonly used such measures are
1) Mean Absolute Error (here denoted MAEµ, and also called ranking loss – see e.g., <NO>), as used e.g., in <NO>, <NO>, <NO>, <NO>, <NO>. MAEµ is defined as the average deviation of the predicted class from the true class, i.e.,
MAEµ(Φ̂, T e) = 1 |Te| ∑ xi∈Te |Φ̂(xi)− Φ(xi)| (1)
where Te denotes the test set and the n classes in Y are assumed to be real numbers, so that |Φ̂(xi)−Φ(xi)| exactly quantifies the distance between the true and the predicted rank (the meaning of the µ superscript will be clarified later). 2) Mean Squared Error (MSEµ – also called Squared Error Loss), as used e.g., in <NO>, defined as
MSEµ(Φ̂, T e) = 1 |Te| ∑ xi∈Te (Φ̂(xi)− Φ(xi))2 (2)
A variant is Root Mean Square Error, as used e.g., in <NO>, which corresponds to the square root of MSEµ. 3) Mean Zero-One Error (more frequently known as Error Rate), as used e.g., in <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, and simply defined as the fraction of incorrect predictions, i.e.,
MZOEµ(Φ̂, T e) = |{xi ∈ Te : Φ̂(xi) 6= Φ(xi}|
|Te| (3)
Unlike MSEµ and MAEµ, MZOEµ has the disadvantage that all errors are treated alike, and thus insufficiently penalizes algorithms that incur into blatant errors. MSEµ penalizes blatant mistakes (e.g., misplacing an item into a rank faraway from the correct one) more than MAEµ, due
4Here we assume that the positives are the minority and the negatives are the majority, which is usually the case in binary classification.
to the presence of squaring; as such, it has been argued (see e.g., <NO>) that MSEµ is more adequate for measuring systems that classify product reviews, since different reviewers might attribute identical reviews to different but neighbouring classes.
It is quite evident that none of these measures is robust to imbalance, since they are all based on a sum of the classification errors across documents. Since the majorityclass classifier incurs in zero error for all the documents whose true class is the majority class, and since in an imbalanced dataset these documents are many, this trivial policy tends to be fairly “error-free”.
To make this problem even worse, it is easy to show that for all these error measures the “trivial class” Φ̃k need not be the majority class; in other words, there may exist trivial classifiers that are even more “error-free” than the majority-class classifier. For instance, in the TripAdvisor15763 dataset mentioned above, assuming that the class distribution in the test set is the same as that in the training set, by assigning all test documents 4 stars we obtain lower MAEµ than by assigning all of them 5 stars, which is the majority class. This is because 4 stars is only marginally less frequent than 5 stars, but in misclassifying all of the documents belonging to the lower classes (1 stars to 3 stars) as 4 stars we make a smaller mistake than in misclassifying them as 5 stars.
Little research has been performed in order to identify evaluation measures that overcome the shortcomings of measures (1)-(3). Gaudette and Japkovicz <NO> acknowledge that these and other measures are somehow problematic but do not concretely propose alternatives. Waegeman et al. <NO> instead propose an evaluation method based on ROC analysis. The problem with their method is that, like all methods based on ROC analysis, it is more apt to evaluate the ability of a classifier at correctly ranking the objects (i.e., at placing 5 stars reviews higher than 4 stars reviews) than to evaluate the ability of the classifier to classify an object into its true (or into a nearby) class. In other words, the ROC measure of <NO> does not reward the ability of a learning device to correctly identify the thresholds τj that separate a class yj from its successor class yj+1, for all j = 1, . . . , (n− 1)."	https://doi.org/10.1109/ISDA.2009.230
52	Tuning data mining methods for cost-sensitive regression: A study in loan charge-off forecasting	[]	Gaurav Bansal, Atish P. Sinha, and Huimin Zhao. 2008. Tuning data mining methods for cost-sensitive regression: A study in loan charge-off forecasting. J. Manag. Inform. Syst. 25, 3 (2008), 315–336.			https://doi.org/10.2753/MIS0742-1222250309
