ref_id,ref_title,ref_link,ref_pdf,ref_parsed
id_3155897,Analysis of Online Social Network Connections for Identification of Influential Users: Survey and Open Research Issues,https://dl.acm.org/ft_gateway.cfm?id=3155897&ftid=1943967&dwn=1&CFID=99881169&CFTOKEN=447de4991e720d89-7545A153-926C-3D5A-21823373FE4CDFA3,,/surveys/3155897/3155897.pdf
id_3105906,Automatic Software Repair: A Bibliography,https://dl.acm.org/ft_gateway.cfm?id=3105906&ftid=1942046&dwn=1&CFID=161315535&CFTOKEN=ce8180058f6e20ff-7546EA7E-CCE8-8760-3DE4F9B1E5C8450E,,/surveys/3105906/3105906.pdf
id_3154526,Objectives and State-of-the-Art of Location-Based Social Network Recommender Systems,https://dl.acm.org/ft_gateway.cfm?id=3154526&ftid=1942045&dwn=1&CFID=161315551&CFTOKEN=2f58c34629c936fa-75484549-F671-E6F6-89F2DACF4811BECF,,/surveys/3154526/3154526.pdf
id_3170432,Recent Advancements in Event Processing,https://dl.acm.org/ft_gateway.cfm?id=3170432&ftid=1945565&dwn=1&CFID=161316036&CFTOKEN=d17524ae403cafb0-75613239-A9F9-0850-A65F041732B0352F,,/surveys/3170432/3170432.pdf
id_3154815,Edge-Oriented Computing Paradigms: A Survey on Architecture Design and System Management,https://dl.acm.org/ft_gateway.cfm?id=3154815&ftid=1957673&dwn=1&CFID=161316168&CFTOKEN=feda783c05c2dd8e-7569A104-BE0C-4993-1F1AE8382C0FD63F,,/surveys/3154815/3154815.pdf
id_3177848,GeoStreams: A Survey,https://dl.acm.org/ft_gateway.cfm?id=3177848&ftid=1976424&dwn=1&CFID=99881936&CFTOKEN=b32d68a4f153eeef-75723F21-A202-B4F9-7DBD749293C33B7C,,/surveys/3177848/3177848.pdf
id_3182658,A Survey on Routing in Anonymous Communication Protocols,https://dl.acm.org/ft_gateway.cfm?id=3182658&ftid=1980041&dwn=1&CFID=74126244&CFTOKEN=cacdc9357c0d3217-757BE036-CA85-3AD7-A2A5117020696603,,/surveys/3182658/3182658.pdf
id_3184899,A Survey of End-System Optimizations for High-Speed Networks,https://dl.acm.org/ft_gateway.cfm?id=3184899&ftid=1987825&dwn=1&CFID=99882150&CFTOKEN=ff933eac5172b4fb-7581F399-01BD-AE72-B21A6D005D3D6A68,,/surveys/3184899/3184899.pdf
id_3186332,Toolflows for Mapping Convolutional Neural Networks on FPGAs: A Survey and Future Directions,https://dl.acm.org/ft_gateway.cfm?id=3186332&ftid=1980047&dwn=1&CFID=161316630&CFTOKEN=51dcf512e28304c3-75849D3F-DFF2-94E3-FC72A4CFC30B9087,,/surveys/3186332/3186332.pdf
id_3199523,Scalable Graph Processing Frameworks: A Taxonomy and Open Challenges,https://dl.acm.org/ft_gateway.cfm?id=3199523&ftid=1980048&dwn=1&CFID=99882275&CFTOKEN=2010cd77614b0a37-758AD22E-A9A7-FFAB-0392E43BC9970C6C,,/surveys/3199523/3199523.pdf
id_3186727,Graph Summarization Methods and Applications: A Survey,https://dl.acm.org/ft_gateway.cfm?id=3186727&ftid=1981908&dwn=1&CFID=99882333&CFTOKEN=8004c2b47a979ad4-758D6D83-AF1C-1B45-464635B18BF1D6F3,,/surveys/3186727/3186727.pdf
id_3190616,Sequence-Aware Recommender Systems,https://dl.acm.org/ft_gateway.cfm?id=3190616&ftid=1984552&dwn=1&CFID=99882416&CFTOKEN=9b67425ce86df932-7592B3C7-CC34-CBA9-364F8E22EC2D7EA1,,/surveys/3190616/3190616.pdf
id_3193827,"FPGA Dynamic and Partial Reconfiguration: A Survey of Architectures, Methods, and Applications",https://dl.acm.org/ft_gateway.cfm?id=3193827&ftid=1990457&dwn=1&CFID=161317064&CFTOKEN=d653ca321806a25d-759BF8A8-9EAC-A3C6-49310A15E8F5423E,,/surveys/3193827/3193827.pdf
id_3204940,Evaluation in Contextual Information Retrieval: Foundations and Recent Advances within the Challenges of Context Dynamicity and Data Privacy,https://dl.acm.org/ft_gateway.cfm?id=3204940&ftid=1990461&dwn=1&CFID=74126931&CFTOKEN=edd7c95ed7a14967-75A62A9F-AEA0-F41A-48A3ED37D1A5D28A,,/surveys/3204940/3204940.pdf
id_3233774,Is Multimedia Multisensorial? - A Review of Mulsemedia Systems,https://dl.acm.org/ft_gateway.cfm?id=3233774&ftid=2000364&dwn=1&CFID=161317710&CFTOKEN=4fa7c8e58ced6f60-75B8FC37-09DA-B929-7129E4B3F7914879,https://dl.acm.org/ft_gateway.cfm?id=3233774&ftid=2003061&dwn=1&CFID=161317710&CFTOKEN=4fa7c8e58ced6f60-75B8FC37-09DA-B929-7129E4B3F7914879,/surveys/3233774/3233774.pdf
id_3197978,A Survey on Compiler Autotuning using Machine Learning,https://dl.acm.org/ft_gateway.cfm?id=3197978&ftid=2003253&dwn=1&CFID=99883190&CFTOKEN=548a6a18884359d4-75BFA887-9989-5A76-EB7AC9BA821E4594,https://dl.acm.org/ft_gateway.cfm?id=3197978&ftid=2006731&dwn=1&CFID=99883190&CFTOKEN=548a6a18884359d4-75BFA887-9989-5A76-EB7AC9BA821E4594,/surveys/3197978/3197978.pdf
id_3267934,A Survey of On-Chip Optical Interconnects,https://dl.acm.org/ft_gateway.cfm?id=3267934&ftid=2037631&dwn=1&CFID=99883660&CFTOKEN=504a08179f97c2ce-75D99869-A8F7-485C-483ECFC35B52C104,https://dl.acm.org/ft_gateway.cfm?id=3267934&ftid=2039751&dwn=1&CFID=99883660&CFTOKEN=504a08179f97c2ce-75D99869-A8F7-485C-483ECFC35B52C104,/surveys/3267934/3267934.pdf
id_3274658,A Perspective Analysis of Handwritten Signature Technology,https://dl.acm.org/ft_gateway.cfm?id=3274658&ftid=2037625&dwn=1&CFID=74127912&CFTOKEN=3bbcdf84858f97fd-75DC0DA7-FC0F-319A-74AE0EBB146AAC45,https://dl.acm.org/ft_gateway.cfm?id=3274658&ftid=2039753&dwn=1&CFID=74127912&CFTOKEN=3bbcdf84858f97fd-75DC0DA7-FC0F-319A-74AE0EBB146AAC45,/surveys/3274658/3274658.pdf
id_3291048,A Survey on Agent-based Simulation Using Hardware Accelerators,https://dl.acm.org/ft_gateway.cfm?id=3291048&ftid=2037624&dwn=1&CFID=99883968&CFTOKEN=789dcd5d37ee1053-75E97537-E85D-6A6A-0A149A57D1CABEEF,https://dl.acm.org/ft_gateway.cfm?id=3291048&ftid=2039761&dwn=1&CFID=99883968&CFTOKEN=789dcd5d37ee1053-75E97537-E85D-6A6A-0A149A57D1CABEEF,/surveys/3291048/3291048.pdf
id_3038925,Hypervideos and Interactive Multimedia Presentations,https://dl.acm.org/ft_gateway.cfm?id=3038925&ftid=1850871&dwn=1&CFID=99884425&CFTOKEN=e545054faede10f6-75FF3DC1-0EAD-DB13-19605C566460327E,,/surveys/3038925/3038925.pdf
id_3041960,Smart Computing and Sensing Technologies for Animal Welfare: A Systematic Review,https://dl.acm.org/ft_gateway.cfm?id=3041960&ftid=1863926&dwn=1&CFID=161319016&CFTOKEN=4c88d7d40c8a011e-7603681A-A16C-16EB-F62CEF18C27E1DE2,,/surveys/3041960/3041960.pdf
id_3057267,A Survey and Comparative Study of Hard and Soft Real-Time Dynamic Resource Allocation Strategies for Multi-/Many-Core Systems,https://dl.acm.org/ft_gateway.cfm?id=3057267&ftid=1865073&dwn=1&CFID=99884911&CFTOKEN=bb7430eedb30d337-761F3451-D9B7-5CAB-ED55660EC9955136,,/surveys/3057267/3057267.pdf
id_3062394,A Survey of Techniques for Cache Partitioning in Multicore Processors,https://dl.acm.org/ft_gateway.cfm?id=3062394&ftid=1872834&dwn=1&CFID=161319624&CFTOKEN=644769c3a0a5af61-76235E73-02B1-A7F5-0DD7E048BD8EB633,,/surveys/3062394/3062394.pdf
id_3068281,GPU Virtualization and Scheduling Methods: A Comprehensive Survey,https://dl.acm.org/ft_gateway.cfm?id=3068281&ftid=1892656&dwn=1&CFID=99885192&CFTOKEN=e60fa7294f5cd3c7-762E18DF-C14E-B484-45DE31D17BC97C39,,/surveys/3068281/3068281.pdf
id_3078752,Optimization of Complex Dataflows with User-Defined Functions,https://dl.acm.org/ft_gateway.cfm?id=3078752&ftid=1876781&dwn=1&CFID=74129649&CFTOKEN=7f12fd14e43ca80d-7635A2EE-F3E6-D2AC-469605BC9808D757,,/surveys/3078752/3078752.pdf
id_3073559,A Survey on Malware Detection Using Data Mining Techniques,https://dl.acm.org/ft_gateway.cfm?id=3073559&ftid=1892639&dwn=1&CFID=161320211&CFTOKEN=7ca6a831a81136d7-763BF745-CEFA-0CBF-5F7F10C298C01863,,/surveys/3073559/3073559.pdf
id_3054926,Nudges for Privacy and Security: Understanding and Assisting Users_ Choices Online,https://dl.acm.org/ft_gateway.cfm?id=3054926&ftid=1899227&dwn=1&CFID=99885511&CFTOKEN=7f667229408ecaf1-7640101C-D1C0-D5BB-63576AC1CE600B94,,/surveys/3054926/3054926.pdf
id_3084225,Bridging the Chasm: A Survey of Software Engineering Practice in Scientific Programming,https://dl.acm.org/ft_gateway.cfm?id=3084225&ftid=1900608&dwn=1&CFID=99885601&CFTOKEN=650ac8efae694fc8-7644173F-C084-0F2B-CE4C146F1E9A6C9A,,/surveys/3084225/3084225.pdf
id_3092698,Interoperability and Portability Approaches in Inter-Connected Clouds: A Review,https://dl.acm.org/ft_gateway.cfm?id=3092698&ftid=1912981&dwn=1&CFID=74130253&CFTOKEN=5f474ca720afb875-764BB730-A18A-02CB-E92A650B462BD283,,/surveys/3092698/3092698.pdf
id_3106741,Analysis of JavaScript Programs: Challenges and Research Trends,https://dl.acm.org/ft_gateway.cfm?id=3106741&ftid=1900620&dwn=1&CFID=74130648&CFTOKEN=5309f5ee331a6794-7661A481-CEF1-3E48-0681AF4C7AA01E16,,/surveys/3106741/3106741.pdf
id_3092742,Systems Applications of Social Networks,https://dl.acm.org/ft_gateway.cfm?id=3092742&ftid=1909857&dwn=1&CFID=99886252&CFTOKEN=372d1516028ee8a4-766BADED-B8B5-F1A7-CF2B2E78992D9807,,/surveys/3092742/3092742.pdf
id_3095798,Structural XML Query Processing,https://dl.acm.org/ft_gateway.cfm?id=3095798&ftid=1909848&dwn=1&CFID=74130829&CFTOKEN=f7ce093b8041691c-766D03A4-0B9E-AC73-3902C3E8F04B7441,,/surveys/3095798/3095798.pdf
id_3128571,Graph Processing on GPUs: A Survey,https://dl.acm.org/ft_gateway.cfm?id=3128571&ftid=1937486&dwn=1&CFID=161321915&CFTOKEN=61231a39380652d4-768D0705-B7A4-AEA1-A2910D2B7A96FD3D,,/surveys/3128571/3128571.pdf
id_3131346,A Survey on Optical Network-on-Chip Architectures,https://dl.acm.org/ft_gateway.cfm?id=3131346&ftid=1930855&dwn=1&CFID=74131680&CFTOKEN=ce030a57cb90e8d-76A0C983-D3A9-7B47-BA1379AC6B2069B6,,/surveys/3131346/3131346.pdf
id_3133837,An Offensive and Defensive Exposition of Wearable Computing,https://dl.acm.org/ft_gateway.cfm?id=3133837&ftid=1926077&dwn=1&CFID=99887156&CFTOKEN=6cf2f23750e3ef09-76A4CA2B-F5B1-D62C-49BB1F5F25DB8358,,/surveys/3133837/3133837.pdf
id_3123988,The Experience Sampling Method on Mobile Devices,https://dl.acm.org/ft_gateway.cfm?id=3123988&ftid=1930857&dwn=1&CFID=74131780&CFTOKEN=33b34a03931ab513-76A5F9C1-08C5-B842-40241F9DDE499009,,/surveys/3123988/3123988.pdf
id_3139222,"Geomagnetism for Smartphone-Based Indoor Localization: Challenges, Advances, and Comparisons",https://dl.acm.org/ft_gateway.cfm?id=3139222&ftid=1930861&dwn=1&CFID=161322480&CFTOKEN=38465529e249c664-76AD57E6-03DF-E07D-3464D4F0ABC458B6,,/surveys/3139222/3139222.pdf
id_2894761,A Survey of Socially Aware Peer-to-Peer Systems,https://dl.acm.org/ft_gateway.cfm?id=2894761&ftid=1720316&dwn=1&CFID=99887746&CFTOKEN=9342c25908d1164b-76E4A56A-09F4-899C-C62C00A401663BE2,,/surveys/2894761/2894761.pdf
id_2906151,Understanding Graph-Based Trust Evaluation in Online Social Networks: Methodologies and Challenges,https://dl.acm.org/ft_gateway.cfm?id=2906151&ftid=1725706&dwn=1&CFID=74132700&CFTOKEN=125f091e67a83b3d-76E5F821-C886-6ED9-761A4A2FE5B36188,,/surveys/2906151/2906151.pdf
id_2906153,Ensuring Security and Privacy Preservation for Cloud Data Services,https://dl.acm.org/ft_gateway.cfm?id=2906153&ftid=1736244&dwn=1&CFID=99887865&CFTOKEN=235817a12fa570d8-76EA2259-B23D-F207-94EED5C3684A6B5E,,/surveys/2906153/2906153.pdf
id_2906152,"Socializing the Semantic Gap: A Comparative Survey on Image Tag Assignment, Refinement, and Retrieval",https://dl.acm.org/ft_gateway.cfm?id=2906152&ftid=1736246&dwn=1&CFID=99887896&CFTOKEN=d08108e0028966fa-76EB814D-CA94-F170-A684632CD2FA23E2,,/surveys/2906152/2906152.pdf
id_2932709,Handling Boot Storms in Virtualized Data Centers _A Survey,https://dl.acm.org/ft_gateway.cfm?id=2932709&ftid=1742996&dwn=1&CFID=99887952&CFTOKEN=7a400e905c62c0a3-76EE16CE-9CC4-D65E-26EFAE6FDED1D68E,,/surveys/2932709/2932709.pdf
id_2926965,Consistency in Non-Transactional Distributed Storage Systems,https://dl.acm.org/ft_gateway.cfm?id=2926965&ftid=1751844&dwn=1&CFID=99888141&CFTOKEN=54af59e4e10e48e0-76F97B5C-B87E-D811-703F7767D295F0C2,,/surveys/2926965/2926965.pdf
id_2926964,Distributed Intelligent MEMS: A Survey and a Real-Time Programming Framework,https://dl.acm.org/ft_gateway.cfm?id=2926964&ftid=1751846&dwn=1&CFID=99888214&CFTOKEN=22b30748aaa2d56-76FF9313-05EB-13D5-9AA303D79AAD35B9,,/surveys/2926964/2926964.pdf
id_2938369,A Survey on Thread-Level Speculation Techniques,https://dl.acm.org/ft_gateway.cfm?id=2938369&ftid=1752395&dwn=1&CFID=161323945&CFTOKEN=9d591487d9265562-77025345-D563-2285-D0296DE69C5F9CAC,,/surveys/2938369/2938369.pdf
id_2933232,A Survey on Wireless Indoor Localization from the Device Perspective,https://dl.acm.org/ft_gateway.cfm?id=2933232&ftid=1752401&dwn=1&CFID=99888403&CFTOKEN=d2e428e000ea20f5-7706E65F-0200-2D6D-D51ACDC6C9B9CB41,,/surveys/2933232/2933232.pdf
id_2931098,Heap Abstractions for Static Analysis,https://dl.acm.org/ft_gateway.cfm?id=2931098&ftid=1752407&dwn=1&CFID=74133343&CFTOKEN=17b668bb1b2e7901-7710E747-BD3D-6426-AD4A43A745BF202E,,/surveys/2931098/2931098.pdf
id_2907070,A Survey of Predictive Modeling on Imbalanced Domains,https://dl.acm.org/ft_gateway.cfm?id=2907070&ftid=1780070&dwn=1&CFID=74133466&CFTOKEN=f18752889626d4c6-7717EA22-B4B9-FD11-AEE3B2D4A20D189F,,/surveys/2907070/2907070.pdf
id_2946802,Performance and Security Improvements for Tor: A Survey,https://dl.acm.org/ft_gateway.cfm?id=2946802&ftid=1795184&dwn=1&CFID=99888722&CFTOKEN=c1396de26d160de2-77195ABC-B51D-4B09-B8F2A2C7F6ADDE6B,,/surveys/2946802/2946802.pdf
id_2963143,The Six Pillars for Building Big Data Analytics Ecosystems,https://dl.acm.org/ft_gateway.cfm?id=2963143&ftid=1774427&dwn=1&CFID=161324420&CFTOKEN=83bead1969281ed7-771AE182-04EF-4252-04CB4BFB361421A2,,/surveys/2963143/2963143.pdf
id_2907071,A Survey of Recent Prefetching Techniques for Processor Caches,https://dl.acm.org/ft_gateway.cfm?id=2907071&ftid=1774426&dwn=1&CFID=99888829&CFTOKEN=95a1beccd0d678b2-77208D4F-E104-4ED2-E8C41EA87062A106,,/surveys/2907071/2907071.pdf
id_2954930,User Intent in Multimedia Search: A Survey of the State of the Art and Future Challenges,https://dl.acm.org/ft_gateway.cfm?id=2954930&ftid=1780069&dwn=1&CFID=99888861&CFTOKEN=bfd4871e8a51d331-77240C51-A5C0-96C0-B13652731F3C1940,,/surveys/2954930/2954930.pdf
id_2963145,Toward Engineering a Secure Android Ecosystem: A Survey of Existing Techniques,https://dl.acm.org/ft_gateway.cfm?id=2963145&ftid=1780073&dwn=1&CFID=74133662&CFTOKEN=3d394334b868e924-7726B810-E064-AB37-9E69EE9F632EEA32,,/surveys/2963145/2963145.pdf
id_2968216,Scalability Issues in Online Social Networks,https://dl.acm.org/ft_gateway.cfm?id=2968216&ftid=1788561&dwn=1&CFID=74133712&CFTOKEN=6c0e82ba7e4fc6c8-77297DF1-C34A-9398-25B12551D3C160F1,,/surveys/2968216/2968216.pdf
id_2956185,A Survey of Signed Network Mining in Social Media,https://dl.acm.org/ft_gateway.cfm?id=2956185&ftid=1780166&dwn=1&CFID=161324931&CFTOKEN=7098ccc83a5bc6f4-772EECDF-D35F-E63C-A6E2F7BABBE41AF6,,/surveys/2956185/2956185.pdf
id_2988545,A Study of Security Isolation Techniques,https://dl.acm.org/ft_gateway.cfm?id=2988545&ftid=1800732&dwn=1&CFID=161325342&CFTOKEN=9c5942ab22993b03-773D0A16-FB7E-DB9A-B88221A03A063115,,/surveys/2988545/2988545.pdf
id_2996358,*droid: Assessment and Evaluation of Android Application Analysis Tools,https://dl.acm.org/ft_gateway.cfm?id=2996358&ftid=1805655&dwn=1&CFID=74134103&CFTOKEN=2f99e77660353143-7743AE86-A667-D79A-D51B2230C2CE392D,,/surveys/2996358/2996358.pdf
id_2996357,Processor Design for Soft Errors: Challenges and State of the Art,https://dl.acm.org/ft_gateway.cfm?id=2996357&ftid=1810965&dwn=1&CFID=99889495&CFTOKEN=37422dc845e84849-774B7531-A07F-A69F-549ED30276D3DE27,,/surveys/2996357/2996357.pdf
id_3002171,Visual Menu Techniques,https://dl.acm.org/ft_gateway.cfm?id=3002171&ftid=1821354&dwn=1&CFID=161325661&CFTOKEN=56c295efc5e03f28-774F5D0C-CF00-4EFD-A6AB59DFA73ABB8E,,/surveys/3002171/3002171.pdf
id_3006385,Affinity-Based Thread and Data Mapping in Shared Memory Systems,https://dl.acm.org/ft_gateway.cfm?id=3006385&ftid=1818492&dwn=1&CFID=161325814&CFTOKEN=36c3e9fa379790ce-7758C361-F05A-3F2C-08A7E66A77050DE3,,/surveys/3006385/3006385.pdf
id_3012429,Scientific Workflows: Moving Across Paradigms,https://dl.acm.org/ft_gateway.cfm?id=3012429&ftid=1821358&dwn=1&CFID=99889840&CFTOKEN=78a4f842ff09db6d-775E63D2-9A1F-9730-87A611D7E99CBAA1,,/surveys/3012429/3012429.pdf
id_2767005,From Security to Assurance in the Cloud: A Survey,https://dl.acm.org/ft_gateway.cfm?id=2767005&ftid=1608344&dwn=1&CFID=74134759&CFTOKEN=e1f9c5aafe7763e5-7771F3AD-F5DF-4774-02AB93F2052ACFA0,,/surveys/2767005/2767005.pdf
id_2794400,Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm,https://dl.acm.org/ft_gateway.cfm?id=2794400&ftid=1613572&dwn=1&CFID=161326427&CFTOKEN=232a4889e311e706-777CB628-06A8-7084-F93FAA328B722FFC,,/surveys/2794400/2794400.pdf
id_2775111,"A Survey on Hypervisor-Based Monitoring: Approaches, Applications, and Evolutions",https://dl.acm.org/ft_gateway.cfm?id=2775111&ftid=1613574&dwn=1&CFID=99890368&CFTOKEN=24d3782f3bd2603d-7780E0F0-95E4-9684-E65844ABA1338F25,,/surveys/2775111/2775111.pdf
id_2808796,Video Interaction Tools: A Survey of Recent Work,https://dl.acm.org/ft_gateway.cfm?id=2808796&ftid=1627894&dwn=1&CFID=99890520&CFTOKEN=cb0def70f7a8b822-778C565D-9DD5-CE25-954A9F1348E783BF,,/surveys/2808796/2808796.pdf
id_2807593,The Multiple Facets of Software Diversity: Recent Developments in Year 2000 and Beyond,https://dl.acm.org/ft_gateway.cfm?id=2807593&ftid=1627898&dwn=1&CFID=74135377&CFTOKEN=405a559954bb236f-779496FE-067F-440A-3C5DB20B977E33EC,,/surveys/2807593/2807593.pdf
id_2816455,The Feet in Human--Computer Interaction: A Survey of Foot-Based Interaction,https://dl.acm.org/ft_gateway.cfm?id=2816455&ftid=1626880&dwn=1&CFID=99890796&CFTOKEN=73d044a09b777809-779C4D86-9887-85D6-5FE46A518BD70EAC,,/surveys/2816455/2816455.pdf
id_2742488,Energy Efficiency Techniques in Cloud Computing: A Survey and Taxonomy,https://dl.acm.org/ft_gateway.cfm?id=2742488&ftid=1632707&dwn=1&CFID=99890818&CFTOKEN=99710c3b017e7e98-779DBBC8-FA5E-3186-A4142BECE73CF45B,,/surveys/2742488/2742488.pdf
id_2818183,In-Network Trajectory Privacy Preservation,https://dl.acm.org/ft_gateway.cfm?id=2818183&ftid=1632709&dwn=1&CFID=74135528&CFTOKEN=5054ea15b65b6fd5-779F0214-9B6B-74FC-76DE396FC556A210,,/surveys/2818183/2818183.pdf
id_2818185,Thinking Like a Vertex: A Survey of Vertex-Centric Frameworks for Large-Scale Distributed Graph Processing,https://dl.acm.org/ft_gateway.cfm?id=2818185&ftid=1632713&dwn=1&CFID=74135643&CFTOKEN=e47da5b1844af855-77A4F682-AB46-F694-12199C6135DF5ED9,,/surveys/2818185/2818185.pdf
id_2817552,How Close are We to Realizing a Pragmatic VANET Solution? A Meta-Survey,https://dl.acm.org/ft_gateway.cfm?id=2817552&ftid=1642566&dwn=1&CFID=99891056&CFTOKEN=e760acd0ced8b1d8-77AE0666-9BBB-0A39-320CCCA4EB4417AF,,/surveys/2817552/2817552.pdf
id_2830555,A Survey on Cache Management Mechanisms for Real-Time Embedded Systems,https://dl.acm.org/ft_gateway.cfm?id=2830555&ftid=1642570&dwn=1&CFID=161327302&CFTOKEN=d5981beedb2f470c-77B2502B-ED3C-D5C9-2025A8837C3AFC09,,/surveys/2830555/2830555.pdf
id_2811282,A Survey on Assessment and Ranking Methodologies for User-Generated Content on the Web,https://dl.acm.org/ft_gateway.cfm?id=2811282&ftid=1652915&dwn=1&CFID=99891427&CFTOKEN=bd9cabbade05b36-77C5188B-052D-4D85-41CA78BF4501FF26,,/surveys/2811282/2811282.pdf
id_2856125,A Survey of Techniques for Architecting and Managing Asymmetric Multicore Processors,https://dl.acm.org/ft_gateway.cfm?id=2856125&ftid=1673272&dwn=1&CFID=161328027&CFTOKEN=383d8783033f76ec-77CE6095-AAA3-93F3-EAF6234A69B85CE0,,/surveys/2856125/2856125.pdf
id_2856126,"Evolution of Attacks, Threat Models, and Solutions for Virtualized Systems",https://dl.acm.org/ft_gateway.cfm?id=2856126&ftid=1673274&dwn=1&CFID=74136369&CFTOKEN=13bd41c1da111f36-77CFC86B-D885-9F51-F670C79CFD329ACE,,/surveys/2856126/2856126.pdf
id_2856127,Workload Characterization: A Survey Revisited,https://dl.acm.org/ft_gateway.cfm?id=2856127&ftid=1673278&dwn=1&CFID=74136414&CFTOKEN=5c510280d896ee9f-77D2EB7C-9537-19B8-06558412CF8FA539,,/surveys/2856127/2856127.pdf
id_2871148,A Survey of Role Mining,https://dl.acm.org/ft_gateway.cfm?id=2871148&ftid=1691969&dwn=1&CFID=161328214&CFTOKEN=19a5d3046de65a4f-77D5678D-0520-91A8-8F019EF9B31BC2F4,,/surveys/2871148/2871148.pdf
