	ref_title	ref_context	ref_entry	abstract	intro
10	Compiler-directed page coloring for multiprocessors	['In comparison, previous related studies <NO>, <NO>, <NO> either focus on reducing conflict misses or depend on additional hardware support and modified instruction sets.', 'Several studies have sought to improve data locality through compiler/OS interaction <NO>, <NO>, <NO>, <NO>, <NO>.', 'The approaches in <NO>, <NO>, <NO> focus more on avoidance of conflict misses, which is not a significant problem with']	Edouard Bugnion, Jennifer M. Anderson, Todd C. Mowry, Mendel Rosenblum, and Monica S. Lam. 1996. Compiler-directed page coloring for multiprocessors. Proc. of the 7th ASPLOS. ACM, 244–255.		
11	Impact of cache partitioning on multi-tasking real time embedded systems	['In <NO> the authors describe different aspects of accessing shared resources taking into account cache memories.', 'In <NO> they address the cache partitioning problem (to avoid interference between different cores) as an optimization problem.', 'Partitioning a cache shared among several tasks at the same time is a concept which has already been used, most notably, for reducing interference in order to improve average case performance or to increase predictability in singlecore settings with preemption <NO>.', 'The parameter setting in Figure 6(a) is as follows: the number of cores is 6; the number of cache partitions is 40; for each task τi, Ti is uniformly distributed in <NO>, Ui is uniformly distributed in [0.', 'In Figure 6(c), the range of Ai is changed to <NO> and other settings are the same as Figure 6(a).', '<NO> focused on improving the schedulability of a single-core system with page coloring.']	B.D. Bui, M. Caccamo, Lui Sha, and J. Martinez. 2008. Impact of cache partitioning on multi-tasking real time embedded systems. Proc. of the 14th RTCSA. 101–110.		
12	Static use of locking caches in multitask preemptive real-time systems	['An approach called cache lockdown (not to be confused with our use of the term “locking”) has been proposed wherein designated cache lines are “locked down” in the cache so that they cannot be evicted <NO>.', 'Finally, Campoy et al <NO> introduce the use of locking instruction caches.']	Marti Campoy, A. Perles Ivars, and J.V. Busquets Mataix. 2001. Static use of locking caches in multitask preemptive real-time systems. Proc. of IEEE Real-Time Embedded Systems Workshop. London, UK.		
13	A memory access detection methodology for accurate workload characterization	[]	M. Cesati, R. Mancuso, E. Betti, and M. Caccamo. 2015. A memory access detection methodology for accurate workload characterization. Proc. of the 21th IEEE RTCSA. IEEE.		
14	Efficient shared cache management through sharing-aware replacement and streaming-aware insertion policy	[]	Yu Chen, Wenlong Li, Changkyu Kim, and Zhizhong Tang. 2009. Efficient shared cache management through sharing-aware replacement and streaming-aware insertion policy. Proc. of the 24th IEEE IPDPS’09. 1–11.	Multi-core processors with shared caches are now commonplace. However, prior works on shared cache management primarily focused on multi-programmed workloads. These schemes consider how to partition the cache space given that simultaneously-running applications may have different cache behaviors. In this paper, we examine policies for managing shared caches for running single multi-threaded applications. First, we show that the shared-cache miss rate can be significantly reduced by reserving a certain amount of space for shared data. Therefore, we modify the replacement policy to dynamically partition each set between shared and private data. Second, we modify the insertion policy to prevent streaming data (data not reused before eviction) from promoting to the MRU position. Finally, we use a low-overhead sampling mechanism to dynamically select the optimal policy. Compared to LRU policy, our scheme reduces the miss rate on average by 8.7% on 8MB caches and 20.1% on 16MB caches respectively.	In this section, we show that the shared cache blocks in multi-threaded applications can affect the cache behavior significantly, thus rendering the new opportunity to improve cache performance over prior shareoblivious cache management policies.
15	Making pointer-based data structures cache conscious	['<NO> show the benefit of cache-conscious data layout and field placement.']	T.M. Chilimbi, M.D. Hill, and J.R. Larus. 2000. Making pointer-based data structures cache conscious. Computer 33, 12 (Dec. 2000), 67–74.		
16	Dynamic cache partitioning via columnization	['This is a key advantage of our technique over some other cache partitioning schemes <NO> since cache allocation is not limited in the absence of contention.', 'The same assumption is made by other replacement optimizations proposed in the past <NO>.', 'For comparison, we use column caching <NO> with equal way division, i.', '<NO> proposed column-caching that allows software to restrict data to certain portions of cache.', 'due to bus contention; and cache partitioning using columnization<NO> or bankization techniques in order to avoid storage interferences between different threads.', 'In columnization<NO> the cache is partitioned into ways, giving to each thread a subset of the total number of ways that no other thread can use.', 'Cache partitions at level of ways can be implemented with column caching<NO>: A bit vector specifies the set of columns (ways) assigned to a given thread.', 'Assuming a k-associative cache that consists of l cache sets with k cache lines each, one can distinguish setbased <NO> and associativity-based <NO> partitioning.']	Derek Chiou, Prabhat Jain, Srinivas Devadas, and Larry Rudolph. 2000. Dynamic cache partitioning via columnization. Proc. of DAC. ACM.		
17	Fully associative cache partitioning with don’t care bits for real-time applications	[]	Ali Chousein, and Rabi N. Mahapatra. 2005. Fully associative cache partitioning with don’t care bits for real-time applications. SIGBED Review 2, 2 (April 2005), 35–38.	The usage of cache memories in time-critical applications has been limited as caches introduce unpredictable execution behavior. Cache partitioning techniques have been developed to reduce the impact of unpredictability owing to context switch effects. However, partitioning reduces the cache size available for each task resulting in capacity related cache misses. This paper introduces a fully associative cache architecture for multi-tasking applications where effective partition sizes are increased by tag compression in the cache. The proposed scheme uses a few don’t care cells in its least significant bits of the tag to aggregate multiple tag entries into a single entry. The experimental results indicate that the proposed scheme is context switch resilient when eight different real-time benchmarks use the cache concurrently. Further, this cache architecture requires less time and less energy to perform tag table search compared to contemporary fully associative caches of the same size.	"The proposed fully associative cache architecture employs TCAM cells in the last significant L bits of the tag entries to compact tag table. Each TCAM cell can store don’t care state (x) in addition to the regular 0 and 1 binary states. This don’t care state is used as a wild bit to aggregate multiple entries in the tag table to single entry to achieve tag table compaction. This scheme is different from traditional tag compression schemes <NO>. As an example, the compaction can be effective up to eight times in reducing the tag table size with three don’t care bits in the tag when program locality behaves favorably. Due to tag table compaction, it is possible to build large sized caches with fewer number of tag entries. This in turn provides larger working cache area for each task when partitioning takes place and improves the miss ratio performance.
The overhead to maintain the above compaction comes with a price of additional hardware but no additional time overhead. The aggregation process that is responsible for tag compaction is neither on the critical path of cache access nor needs extensive hardware. The details of the aggregation module are not discussed in this paper. The decoding of the compacted tag entry is done concurrently with the tag table search and does not affect the critical path of the cache access. The decoder is implemented using offthe-shelf de-multiplexers."
18	Abstract interpretation based formal methods and future challenges	[]	P. Cousot. 2001. Abstract interpretation based formal methods and future challenges. Informatics - 10 Years Back. 10 Years Ahead. Springer-Verlag, London, UK, 138–156.		
19	A compacting real-time memory management system	[]	Silviu S. Craciunas, Christoph M. Kirsch, Hannes Payer, Ana Sokolova, Horst Stadler, and Robert Staudinger. 2008. A compacting real-time memory management system. Proc. of USENIX ATC. USENIX, 49–362.		
20	Cache persistence analysis: Theory and practice	[]	C. Cullmann. 2013. Cache persistence analysis: Theory and practice. ACM Trans. Embed. Comput. Syst. 12, 1s, Article 40 (March 2013), 25 pages.	To compute a worst-case execution time (WCET) estimate for a program, the architectural effects of the underlying hardware must be modeled. For modern processors this results in the need for a cache and pipeline analysis. The timing-relevant result of the cache analysis is the categorization of the accesses to cached memory. Categorizations that are obtainable by the well-known must and may cache analysis [Ferdinand 1997] are always-hit, always-miss and not-classified. The cache persistence analysis tries to provide additional information for the not-classified case to limit the number of misses. There exists a cache persistence analysis by Ferdinand and Wilhelm based on abstract interpretation computing these classifications. In this article, we present a correctness issue with this analysis. To fix this issue, we propose two new abstract interpretation based persistence analyses and show their safety. One is based on the known may analysis and a second one on the concept of conflict counting. For fully timing compositional architectures [Wilhelm et al. 2009] the persistence information is straightforward to use. We will apply the concepts of persistence analysis for the first time to state-of-the-art architectures that exhibit both timing anomalies and domino effects. Such architectures do not allow the analyzer to quantify the costs of a single cache hit or miss in isolation. To make the usage of the persistence information feasible, we integrate the presented novel persistence analyses together with a novel path analysis approach into the industrially used WCET analyzer aiT.	
21	Predictability considerations in the design of multi-core embedded systems	['It follows a more or less standard architecture for timing-analysis tools <NO>.', 'point within a task in order to estimate the worst-case miss count, and hence the maximum execution time <NO>, <NO>, <NO>.', 'The same is not true for writeback mode in a cache, which adds complexity to both hardware and WCET analysis <NO> due to the need to need to track which data in the cache has changed, and write that data back upon eviction.']	C. Cullmann, C. Ferdinand, G. Gebhard, D. Grund, C. Maiza, J. Reineke, B. Triquet, S. Wegener, and R. Wilhelm. 2010. Predictability considerations in the design of multi-core embedded systems. Ingénieurs de l’Automobile 807 (Sept. 2010), 36–42.		
22	A survey of hard real-time scheduling for multiprocessor systems	[]	Robert I. Davis, and Alan Burns. 2011. A survey of hard real-time scheduling for multiprocessor systems. Computing Surveys 43, 4, Article 35 (Oct. 2011), 44 pages.	This survey covers hard real-time scheduling algorithms and schedulability analysis techniques for homogeneous multiprocessor systems. It reviews the key results in this field from its origins in the late 1960s to the latest research published in late 2009. The survey outlines fundamental results about multiprocessor real-time scheduling that hold independent of the scheduling algorithms employed. It provides a taxonomy of the different scheduling methods, and considers the various performance metrics that can be used for comparison purposes. A detailed review is provided covering partitioned, global, and hybrid scheduling algorithms, approaches to resource sharing, and the latest results from empirical investigations. The survey identifies open issues, key research challenges, and likely productive research directions.	"Systems are referred to as real-time when their correct behavior depends not only on the operations they perform being logically correct, but also on the time at which they are performed. For example in avionics, flight control software must execute within a fixed time interval in order to accurately control the aircraft. In automotive electronics there are tight time constraints on engine management and transmission control systems that derive from the mechanical systems that they control.
Guaranteeing real-time performance while making the most effective use of the available processing capacity requires the use of efficient scheduling policies or algorithms supported by accurate schedulability analysis techniques. These analysis techniques need to be capable of analyzing the worst-case behavior of the application under a given scheduling policy, thus providing proof, subject to a set of assumptions about application behavior, that timing constraints will always be met during operation of the system.
Research into uniprocessor real-time scheduling can trace its origins back to the late 1960s and early 1970s with significant research effort and advances made in the 1980s and 1990s. The interested reader is referred to Audsley et al. <NO> and Sha et al. <NO>, which provide historical accounts of the most important advances in the field of uniprocessor scheduling during those decades. Today, although there is still significant scope for further research, uniprocessor real-time scheduling theory can be viewed as reasonably mature, with a large number of key results documented in textbooks such as those by Burns and Wellings <NO>, Buttazzo <NO>, and Liu <NO>, and successfully transferred into industrial practice.
Multiprocessor real-time scheduling theory also has it origins in the late 1960s and early 1970s. Liu <NO> noted that multiprocessor real-time scheduling is intrinsically a much more difficult problem than uniprocessor scheduling:
“Few of the results obtained for a single processor generalize directly to the multiple processor case; bringing in additional processors adds a new dimension to the scheduling problem. The simple fact that a task can use only one processor even when several processors are free at the same time adds a surprising amount of difficulty to the scheduling of multiple processors.”
The seminal paper of Dhall and Liu <NO> heavily influenced the course of research in this area for two decades. During the 1980s and 1990s, conventional wisdom was that global approaches to multiprocessor scheduling, where tasks may migrate from one processor to another, suffered from the so-called “Dhall effect,” and were therefore inferior to partitioned approaches, with a fixed allocation of tasks to processors. Research efforts therefore focused almost exclusively on partitioned approaches. It was not until Phillips et al. <NO> showed that the Dhall effect was more of a problem with high-utilization tasks than it was with global scheduling algorithms that there was renewed interest in global scheduling algorithms.
In the late 1990s silicon vendors such as IBM and AMD began research into the development of multicore processors, with IBM releasing the first nonembedded dual-core processor, the POWER4, in 2001. This trend away from increasing processing capacity via ever higher clock speeds toward increasing performance via multiple processor cores became evident to the real-time systems research community. This resulted in significant research effort being focused on the problem of real-time multiprocessor scheduling. While markedly more articles have been published in this area since 2000 than before, and significant progress has been made, there are still many open questions and research challenges that remain.
This article presents a survey of multiprocessor real-time scheduling algorithms and schedulability analysis techniques, from the origins of the field in the late 1960s up to the latest research published at the end of 2009. The aim of the survey is to provide a classification of existing research, both providing a perspective on the area and identifying significant open issues and future research directions."
23	Analysis of probabilistic cache related pre-emption delays	['For reasons of space and clarity, here we only present results for the first two experiments for the simple FAC benchmark, results for the other experiments and for the BS, FDCT, FIBCALL, FIR, JFDCTINT, and INSERTSORT benchmarks can be found in the technical report <NO>.', 'Detailed results can be found in the technical report <NO>.', 'The appendix of the technical report <NO> contains the results of the four experiments for the BS, FDCT, FIBCALL, FIR, JFDCTINT, and INSERTSORT benchmarks.', 'Meanwhile, Probabilistic Timing Analysis (PTA) techniques <NO> rely on caches with a time-randomised behaviour in which hit and miss events have an associated probability for every cache access.', 'Probabilistic Timing Analysis (PTA) <NO> provides WCET estimates with an associated exceedance probability, called probabilistic WCET (pWCET) estimates.']	R.I. Davis, L. Santinelli, S. Altmeyer, C. Maiza, and L. Cucu-Grosjean. 2013. Analysis of probabilistic cache related pre-emption delays. Proc. of the 25th ECRTS. IEEE, 168–179.	This paper integrates analysis of probabilistic cache related pre-emption delays (pCRPD) and static probabilistic timing analysis (SPTA) for multipath programs running on a hardware platform that uses an evict-on-miss random cache replacement policy. The SPTA computes an upper bound on the probabilistic worst-case execution time (pWCET) of the program, which is an exceedance function giving the probability that the execution time of the program will exceed any given value on any particular run. The pCRPD analysis determines the maximum effect of a pre-emption on the pWCET. The integration between SPTA and pCRPD updates the pWCET to account for the effects of one or more pre-emptions at any arbitrary points in the program. This integration is a necessary step enabling effective schedulability analysis for probabilistic hard real-time systems that use pre-emptive or co-operative scheduling. The analysis is illustrated via a number of benchmark programs.	"Temporal analysis of probabilistic real-time systems where at least one parameter, e.g. execution time, is described by a random variable, was first investigated by Lehoczky in 1990 <NO> who extended queuing theory under real-time hypotheses. This work was improved upon in 2002 by Zhu et al. <NO>; however, the main limitation remained the use of the same probability law for the execution times of all tasks, which is not always realistic. Gardner et al. in 1999 <NO> and Tia et al. in 1995 <NO> also considered execution times as random variables with special assumptions made about the critical instant. Schedulability analysis for real-time systems with probabilistic execution times was given by Diaz et al. in 2002 <NO> and refined by Lopez et al. in 2008 <NO>; however, the analysis was difficult to use in practice for computational reasons. Improvements based on re-sampling of random variables were proposed by Maxim et al. in 2012 <NO>.
In 2009, Quinones et al. <NO> investigated the use of random cache replacement policies as a means of obtaining real-time performance less dependent on execution history. In 2012, Cucu-Grosjean et al. <NO> and Cazorla et al. <NO> introduced SPTA for single-path programs, assuming an evict-on-access random cache replacement policy.
For deterministic systems, the integration of cache related pre-emption delays into schedulability analysis for fixed priority pre-emptive scheduling has been considered by (i) analysing the effect of the pre-empting task (Busquets-Mataix et al. in 1996 <NO>), (ii) analysing the effect on the pre-empted
1In this paper, we use ’program’ and ’task’ interchangeably.
1068-3070/13 $26.00 © 2013 IEEE DOI 10.1109/ECRTS.2013.27
168
task (Lee et al. in 1998 <NO>), or (iii) a combination of both (Altmeyer et al. in 2011 <NO> and 2012 <NO>).
In this paper, we build on the idea of using random cache replacement policies in hard real-time systems proposed in <NO>, and the SPTA for the evict-on-access random cache replacement policy introduced in <NO> and <NO>; however, we assume an evict-on-miss policy because its performance dominates that of evict-on-access in terms of the pWCET distributions (exceedance functions) obtained. We extend previous work on SPTA for single path programs given in <NO> and <NO>, both integrating analysis of pCRPD, and introducing for the first time a method of analysing multipath programs.
Section II presents our system model, terminology and notation. In Section III we provide SPTA for single-path programs assuming an evict-on-miss random cache replacement policy. In Section IV we derive analysis of pCRPD, based on the effect on the pre-empted program. In section V we extend our SPTA and pCRPD analysis to multi-path programs. Section VI applies our analysis to a number of benchmarks, while Section VII concludes with a summary and discussion of future work."
